solID,channels,date_min,date_max,periods,constr_low,constr_up,histSpend,histSpendTotal,initSpendUnitTotal,initSpendUnit,initSpendShare,initResponseUnit,initResponseUnitTotal,initRoiUnit,expSpendTotal,expSpendUnitTotal,expSpendUnitDelta,optmSpendUnit,optmSpendUnitDelta,optmSpendUnitTotal,optmSpendUnitTotalDelta,optmSpendShareUnit,optmResponseUnit,optmResponseUnitTotal,optmRoiUnit,optmResponseUnitLift,optmResponseUnitTotalLift
2_1_6,boolean_value_S_1,2020-05-06,2022-03-31,695 days,0.7,1.2,255544,147182573.887921,378094.583582857,15032,0.03975724766421,0.087180792784627,0.7792953991097,5.79968020121255e-06,147182573.887921,378094.583582857,0,18038.4,0.2,378094.583582865,2.19824158875781e-14,0.047708697197051,0.11068225821861,0.89686912901472,6.13592437348158e-06,0.269571595799107,0.150871838893622
2_1_6,FB_28_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,3973402,147182573.887921,378094.583582857,21023.291005291,0.0556032588620352,0.0271613896035257,0.7792953991097,1.29196659061086e-06,147182573.887921,378094.583582857,0,16606.0703483707,-0.210110807856327,378094.583582865,2.19824158875781e-14,0.0439204132230876,0.0185316201262164,0.89686912901472,1.11595457187947e-06,-0.317721942922578,0.150871838893622
2_1_6,FB_30_broad_S,2020-05-06,2022-03-31,695 days,0.7,1.2,3712528,147182573.887921,378094.583582857,8735.36,0.0231036369715297,0.00228695359230883,0.7792953991097,2.61804160596568e-07,147182573.887921,378094.583582857,0,6114.752,-0.3,378094.583582865,2.19824158875781e-14,0.0161725458800704,0.00122066388699043,0.89686912901472,1.99626066108721e-07,-0.466248947466358,0.150871838893622
2_1_6,FB_30_retarg_S,2020-05-06,2022-03-31,695 days,0.7,1.2,1076176,147182573.887921,378094.583582857,2809.8590078329,0.00743162988796727,0.0206485950832278,0.7792953991097,7.34862319627668e-06,147182573.887921,378094.583582857,0,3371.83080939948,0.2,378094.583582865,2.19824158875781e-14,0.00891795586556053,0.0285463680642559,0.89686912901472,8.46613299358872e-06,0.382484762241434,0.150871838893622
2_1_6,FB_30_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,9915433,147182573.887921,378094.583582857,25359.1636828645,0.0670709520421023,0.0880420958597179,0.7792953991097,3.47180596965858e-06,147182573.887921,378094.583582857,0,30430.9964194373,0.2,378094.583582865,2.19824158875781e-14,0.080485142450521,0.100655410984617,0.89686912901472,3.30766070217554e-06,0.143264594075507,0.150871838893622
2_1_6,FB_40_broad_S,2020-05-06,2022-03-31,695 days,0.7,1.2,1258938,147182573.887921,378094.583582857,5245.575,0.013873711044185,0.0317090959984542,0.7792953991097,6.04492281560252e-06,147182573.887921,378094.583582857,0,6294.69,0.2,378094.583582865,2.19824158875781e-14,0.0166484532530216,0.0416531974598617,0.89686912901472,6.61719599533285e-06,0.313604066854897,0.150871838893622
2_1_6,FB_40_retarg_S,2020-05-06,2022-03-31,695 days,0.7,1.2,892444,147182573.887921,378094.583582857,2479.01111111111,0.00655658985542662,0.01783788887065,0.7792953991097,7.19556632509604e-06,147182573.887921,378094.583582857,0,2974.81333333333,0.2,378094.583582865,2.19824158875781e-14,0.00786790782651177,0.0231340245760368,0.89686912901472,7.77663066008739e-06,0.2969037280023,0.150871838893622
2_1_6,FB_40_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,6054607,147182573.887921,378094.583582857,10385.2607204117,0.0274673617960883,0.00372237136294882,0.7792953991097,3.58428301721179e-07,147182573.887921,378094.583582857,0,10204.8586772369,-0.017370969110119,378094.583582865,2.19824158875781e-14,0.0269902271027914,0.00359141344297639,0.89686912901472,3.51931717681447e-07,-0.0351813151358129,0.150871838893622
2_1_6,FB_50_S,2020-05-06,2022-03-31,695 days,0.7,1.2,92379,147182573.887921,378094.583582857,3421.44444444444,0.00904917603426778,0.00205566102121516,0.7792953991097,6.0081671779094e-07,147182573.887921,378094.583582857,0,2395.01113285159,-0.299999993645819,378094.583582865,2.19824158875781e-14,0.00633442328148741,0.00121998724967392,0.89686912901472,5.09386880478237e-07,-0.406523139231997,0.150871838893622
2_1_6,FB_female_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,49052834,147182573.887921,378094.583582857,75004.3333333333,0.198374524761994,0.0421994421246491,0.7792953991097,5.62626721006997e-07,147182573.887921,378094.583582857,0,60884.4387100395,-0.188254384723911,378094.583582865,2.19824158875781e-14,0.161029650658023,0.0290630509069328,0.89686912901472,4.77347767716884e-07,-0.311293006644826,0.150871838893622
2_1_6,FB_male_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,27575823,147182573.887921,378094.583582857,40792.6375739645,0.107890034253889,0.0631246487322541,0.7792953991097,1.54745200326401e-06,147182573.887921,378094.583582857,0,48951.1617476309,0.199999918094866,378094.583582865,2.19824158875781e-14,0.129468032267917,0.0787384607834805,0.89686912901472,1.60851056384359e-06,0.247348894050136,0.150871838893622
2_1_6,FB_u25_S,2020-05-06,2022-03-31,695 days,0.7,1.2,366344,147182573.887921,378094.583582857,8935.21951219512,0.0236322335737376,0.0306466761548941,0.7792953991097,3.42987389543887e-06,147182573.887921,378094.583582857,0,10722.2634146341,0.2,378094.583582865,2.19824158875781e-14,0.0283586802884845,0.0415843673908126,0.89686912901472,3.87831988291359e-06,0.356896492808467,0.150871838893622
2_1_6,FB_undefined_S,2020-05-06,2022-03-31,695 days,0.7,1.2,30309208,147182573.887921,378094.583582857,45170.2056631893,0.119468005161969,0.0129532648206118,0.7792953991097,2.86765681723867e-07,147182573.887921,378094.583582857,0,34328.9061547402,-0.240009965623955,378094.583582865,2.19824158875781e-14,0.0907944933498804,0.00847060051603706,0.89686912901472,2.46748337329921e-07,-0.346064437549497,0.150871838893622
2_1_6,Google_listing_S,2020-05-06,2022-03-31,695 days,0.7,1.2,675464,147182573.887921,378094.583582857,5236.15503875969,0.0138487967458868,0.103068950437837,0.7792953991097,1.96840906495105e-05,147182573.887921,378094.583582857,0,6283.38604651163,0.2,378094.583582865,2.19824158875781e-14,0.0166185560950638,0.115536688451076,0.89686912901472,1.8387647614811e-05,0.120965023513641,0.150871838893622
2_1_6,Google_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,7512662,147182573.887921,378094.583582857,20470.4686648501,0.0541411317529868,0.0122100962451501,0.7792953991097,5.96473702925821e-07,147182573.887921,378094.583582857,0,21675.5893073848,0.0588711798574502,378094.583582865,2.19824158875781e-14,0.0573284840581015,0.0131708336310901,0.89686912901472,6.07634396662185e-07,0.078683850368628,0.150871838893622
2_1_6,Google_Proslisting_S,2020-05-06,2022-03-31,695 days,0.7,1.2,1391576,147182573.887921,378094.583582857,10384.8955223881,0.0274663959054369,0.00656724112904417,0.7792953991097,6.32383938277118e-07,147182573.887921,378094.583582857,0,11246.6059526202,0.0829772844969316,378094.583582865,2.19824158875781e-14,0.0297454828525871,0.00734944643709657,0.89686912901472,6.53481278534911e-07,0.119107139921059,0.150871838893622
2_1_6,Google_undefined_S,2020-05-06,2022-03-31,695 days,0.7,1.2,219126,147182573.887921,378094.583582857,3130.37142857143,0.00827933423141839,0.0116999415632119,0.7792953991097,3.73755697372667e-06,147182573.887921,378094.583582857,0,3756.44571428571,0.2,378094.583582865,2.19824158875781e-14,0.00993520107770185,0.0163083153838569,0.89686912901472,4.34142181845903e-06,0.393880071600972,0.150871838893622
2_1_6,Influencer_fix_S,2020-05-06,2022-03-31,695 days,0.7,1.2,2336999,147182573.887921,378094.583582857,63162.1351351351,0.167053795208081,0.127072211208869,0.7792953991097,2.01184160315351e-06,147182573.887921,378094.583582857,0,71962.1077281712,0.139323545257115,378094.583582865,2.19824158875781e-14,0.190328322205122,0.149589455374851,0.89686912901472,2.07872531944045e-06,0.177200380411812,0.150871838893622
2_1_6,Twitter_S,2020-05-06,2022-03-31,695 days,0.7,1.2,42055.887921,147182573.887921,378094.583582857,3504.65732675,0.00926926086467456,0.0740992475876174,0.7792953991097,2.11430792454486e-05,147182573.887921,378094.583582857,0,4205.5887921,0.2,378094.583582865,2.19824158875781e-14,0.0111231130376092,0.0897457305847209,0.89686912901472,2.13396351905122e-05,0.211155760773449,0.150871838893622
2_1_6,Yahoo_S,2020-05-06,2022-03-31,695 days,0.7,1.2,296193,147182573.887921,378094.583582857,4355.77941176471,0.0115203433238555,0.0143022832261661,0.7792953991097,3.28351871711787e-06,147182573.887921,378094.583582857,0,5226.93529411765,0.2,378094.583582865,2.19824158875781e-14,0.0138244119886263,0.0176859849031553,0.89686912901472,3.3836242287252e-06,0.236584720319252,0.150871838893622
2_1_6,Yahoo_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,172838,147182573.887921,378094.583582857,3456.76,0.00914258005825803,0.00070655170272058,0.7792953991097,2.04397095175997e-07,147182573.887921,378094.583582857,0,2419.732,-0.3,378094.583582865,2.19824158875781e-14,0.00639980604078048,0.000391250642371354,0.89686912901472,1.61691725518096e-07,-0.4462533444264,0.150871838893622
